price,area,bedrooms,address,address_clean,street,street_for_geo,location,latitude,longitude
48.0,156,32.0,"Phố Linh Lang,
                                    Phường Giảng Võ,
                                    Hà Nội","Phố Linh Lang, Phường Giảng Võ, Hà Nội",Phố Linh Lang,"Phố Linh Lang, Việt Nam","Phố Linh Lang, Kim Mã Thượng, Phường Ngọc Hà, Thành phố Hà Nội, 11119, Việt Nam",21.0382278,105.8104991
46.0,145,27.0,"Phố Ngọc Khánh,
                                    Phường Giảng Võ,
                                    Hà Nội","Phố Ngọc Khánh, Phường Giảng Võ, Hà Nội",Phố Ngọc Khánh,"Phố Ngọc Khánh, Việt Nam","Phố Ngọc Khánh, Giảng Võ, Phường Giảng Võ, Thành phố Hà Nội, 11110, Việt Nam",21.0267835,105.8178095
51.0,163,32.0,"Đường Giảng Võ,
                                    Phường Giảng Võ,
                                    Hà Nội","Đường Giảng Võ, Phường Giảng Võ, Hà Nội",Đường Giảng Võ,"Đường Giảng Võ, Việt Nam","Đài Truyền hình Việt Nam, 43, Đường Nguyễn Chí Thanh, Ngọc Khánh, Phường Giảng Võ, Thành phố Hà Nội, 10067, Việt Nam",21.0257605,105.8130654
54.0,171,32.0,"Đường Đào Tấn,
                                    Phường Giảng Võ,
                                    Hà Nội","Đường Đào Tấn, Phường Giảng Võ, Hà Nội",Đường Đào Tấn,"Đường Đào Tấn, Việt Nam","Đường Đào Tấn, Khu phố 4, Phường An Đông, Thủ Đức, Thành phố Hồ Chí Minh, 72760, Việt Nam",10.7508081,106.6757438
55.0,186,22.0,"Phố Láng Hạ,
                                    Phường Giảng Võ,
                                    Hà Nội","Phố Láng Hạ, Phường Giảng Võ, Hà Nội",Phố Láng Hạ,"Phố Láng Hạ, Việt Nam","Phố Láng Hạ, Nhược Công, Phường Giảng Võ, Thành phố Hà Nội, 11110, Việt Nam",21.0183256,105.8160795
57.0,191,32.0,"Đường Kim Mã,
                                    Phường Ngọc Hà,
                                    Hà Nội","Đường Kim Mã, Phường Ngọc Hà, Hà Nội",Đường Kim Mã,"Đường Kim Mã, Việt Nam","Số nhà 2/2C khu Ngoại Giao Đoàn, phố Kim Mã đường dưới, Phố Kim Mã, Phường Ngọc Hà, Thành phố Hà Nội, 11119, Việt Nam",21.0308599,105.8166626
66.0,207,44.0,"Phố Ngọc Khánh,
                                    Phường Giảng Võ,
                                    Hà Nội","Phố Ngọc Khánh, Phường Giảng Võ, Hà Nội",Phố Ngọc Khánh,"Phố Ngọc Khánh, Việt Nam","Phố Ngọc Khánh, Giảng Võ, Phường Giảng Võ, Thành phố Hà Nội, 11110, Việt Nam",21.0267835,105.8178095
68.0,213,44.0,"Phố Linh Lang,
                                    Phường Giảng Võ,
                                    Hà Nội","Phố Linh Lang, Phường Giảng Võ, Hà Nội",Phố Linh Lang,"Phố Linh Lang, Việt Nam","Phố Linh Lang, Kim Mã Thượng, Phường Ngọc Hà, Thành phố Hà Nội, 11119, Việt Nam",21.0382278,105.8104991
73.0,226,44.0,"Đường Giảng Võ,
                                    Phường Giảng Võ,
                                    Hà Nội","Đường Giảng Võ, Phường Giảng Võ, Hà Nội",Đường Giảng Võ,"Đường Giảng Võ, Việt Nam","Đài Truyền hình Việt Nam, 43, Đường Nguyễn Chí Thanh, Ngọc Khánh, Phường Giảng Võ, Thành phố Hà Nội, 10067, Việt Nam",21.0257605,105.8130654
79.0,238,44.0,"Đường Đào Tấn,
                                    Phường Giảng Võ,
                                    Hà Nội","Đường Đào Tấn, Phường Giảng Võ, Hà Nội",Đường Đào Tấn,"Đường Đào Tấn, Việt Nam","Đường Đào Tấn, Khu phố 4, Phường An Đông, Thủ Đức, Thành phố Hồ Chí Minh, 72760, Việt Nam",10.7508081,106.6757438
86.0,246,,"Đường Kim Mã,
                                    Phường Ngọc Hà,
                                    Hà Nội","Đường Kim Mã, Phường Ngọc Hà, Hà Nội",Đường Kim Mã,"Đường Kim Mã, Việt Nam","Số nhà 2/2C khu Ngoại Giao Đoàn, phố Kim Mã đường dưới, Phố Kim Mã, Phường Ngọc Hà, Thành phố Hà Nội, 11119, Việt Nam",21.0308599,105.8166626
82.0,246,44.0,"Phố Láng Hạ,
                                    Phường Giảng Võ,
                                    Hà Nội","Phố Láng Hạ, Phường Giảng Võ, Hà Nội",Phố Láng Hạ,"Phố Láng Hạ, Việt Nam","Phố Láng Hạ, Nhược Công, Phường Giảng Võ, Thành phố Hà Nội, 11110, Việt Nam",21.0183256,105.8160795
91.0,266,44.0,"Phố Ngọc Khánh,
                                    Phường Giảng Võ,
                                    Hà Nội","Phố Ngọc Khánh, Phường Giảng Võ, Hà Nội",Phố Ngọc Khánh,"Phố Ngọc Khánh, Việt Nam","Phố Ngọc Khánh, Giảng Võ, Phường Giảng Võ, Thành phố Hà Nội, 11110, Việt Nam",21.0267835,105.8178095
34.0,111,21.0,"Đường Đào Tấn,
                                    Phường Giảng Võ,
                                    Hà Nội","Đường Đào Tấn, Phường Giảng Võ, Hà Nội",Đường Đào Tấn,"Đường Đào Tấn, Việt Nam","Đường Đào Tấn, Khu phố 4, Phường An Đông, Thủ Đức, Thành phố Hồ Chí Minh, 72760, Việt Nam",10.7508081,106.6757438
29.0,102,21.0,"Đường Giảng Võ,
                                    Phường Giảng Võ,
                                    Hà Nội","Đường Giảng Võ, Phường Giảng Võ, Hà Nội",Đường Giảng Võ,"Đường Giảng Võ, Việt Nam","Đài Truyền hình Việt Nam, 43, Đường Nguyễn Chí Thanh, Ngọc Khánh, Phường Giảng Võ, Thành phố Hà Nội, 10067, Việt Nam",21.0257605,105.8130654
44.0,122,21.0,"Phố Láng Hạ,
                                    Phường Giảng Võ,
                                    Hà Nội","Phố Láng Hạ, Phường Giảng Võ, Hà Nội",Phố Láng Hạ,"Phố Láng Hạ, Việt Nam","Phố Láng Hạ, Nhược Công, Phường Giảng Võ, Thành phố Hà Nội, 11110, Việt Nam",21.0183256,105.8160795
47.0,136,22.0,"Đường Kim Mã,
                                    Phường Giảng Võ,
                                    Hà Nội","Đường Kim Mã, Phường Giảng Võ, Hà Nội",Đường Kim Mã,"Đường Kim Mã, Việt Nam","Số nhà 2/2C khu Ngoại Giao Đoàn, phố Kim Mã đường dưới, Phố Kim Mã, Phường Ngọc Hà, Thành phố Hà Nội, 11119, Việt Nam",21.0308599,105.8166626
220.0,282,5.0,"Phố Hòe Nhai,
                                    Phường Ba Đình,
                                    Hà Nội","Phố Hòe Nhai, Phường Ba Đình, Hà Nội",Phố Hòe Nhai,"Phố Hòe Nhai, Việt Nam","Phố Hoè Nhai, Hoè Nhai, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt Nam",21.0422751,105.848001
330.0,486,11.0,"Đường Hoàng Hoa Thám,
                                    Phường Ngọc Hà,
                                    Hà Nội","Đường Hoàng Hoa Thám, Phường Ngọc Hà, Hà Nội",Đường Hoàng Hoa Thám,"Đường Hoàng Hoa Thám, Việt Nam","Đường Hoàng Hoa Thám, Vĩnh Phúc (phía Tây), Phường Ngọc Hà, Thành phố Hà Nội, 11119, Việt Nam",21.0443736,105.8128943
