,price,area,bedrooms,latitude,longitude
93,235.0,386,11.0,20.8375079,106.7006624
94,180.0,254,12.0,21.0299786,105.8400632
95,158.0,220,11.0,21.0432853,105.8444143
96,285.0,550,15.0,21.0467453,105.8438118
97,455.0,668,18.0,21.0445208,105.8423167
98,145.0,210,9.0,10.7508081,106.6757438
99,168.0,259,10.0,21.0422493,105.8413123
100,250.0,320,20.0,21.0304301,105.8413237
101,215.0,300,9.0,21.0420546,105.8380335
102,235.0,366,9.0,21.060668,105.7731226
103,250.0,380,11.0,21.142851,105.5069201
104,185.0,265,9.0,21.0340746,105.8271402
105,179.0,258,10.0,21.0257605,105.8130654
106,220.0,450,10.0,21.0401934,105.8477013
107,210.0,380,10.0,21.0417288,105.8449772
108,280.0,450,10.0,21.0422751,105.848001
109,250.0,430,11.0,21.0443736,105.8128943
110,265.0,383,12.0,21.0359363,105.81262
111,285.0,430,12.0,21.0308599,105.8166626
112,280.0,428,13.0,21.0466514,105.8413703
113,250.0,400,9.0,15.9932234,108.2058619
114,399.0,630,24.0,21.033437,105.8137813
115,500.0,1100,15.0,21.0382278,105.8104991
116,350.0,500,20.0,21.0267835,105.8178095
117,330.0,450,10.0,21.0257605,105.8130654
118,350.0,426,8.0,21.043082,105.8401641
119,350.0,426,10.0,21.0460215,105.8410062
120,480.0,1200,5.0,21.0272991,105.8150091
121,380.0,760,15.0,19.8279264,105.7779134
122,550.0,718,11.0,21.033437,105.8137813
123,280.0,460,11.0,21.0482127,105.8409282
124,188.0,290,9.0,10.8119203,106.6861257
125,85.0,123,9.0,21.0308599,105.8166626
126,111.0,168,9.0,21.0332658,105.8112743
127,255.0,424,11.0,21.0282997,105.8104201
128,330.0,411,11.0,21.0430021,105.8438878
129,98.0,146,9.0,21.0332658,105.8112743
130,130.0,195,9.0,21.0332658,105.8112743
131,105.0,155,9.0,21.0430021,105.8438878
132,113.0,163,9.0,21.0282997,105.8104201
133,92.0,139,9.0,21.0294939,105.8232176
134,999.0,1688,24.0,20.8375079,106.7006624
135,300.0,550,11.0,21.0308599,105.8166626
136,95.0,148,9.0,21.0414147,105.8456775
137,123.0,177,9.0,10.8440955,106.7746845
138,88.0,126,9.0,21.141215,105.5045518
139,366.0,558,11.0,21.0403773,105.8463581
140,118.0,166,9.0,21.0338223,105.8436318
141,108.0,157,9.0,21.0321002,105.8337335
142,129.0,173,9.0,21.0460315,105.840049
143,180.0,262,9.0,21.0482127,105.8409282
144,195.0,273,9.0,21.0403773,105.8463581
145,115.0,156,9.0,21.033437,105.8137813
146,180.0,260,8.0,21.0401934,105.8477013
147,210.0,290,9.0,21.0422751,105.848001
148,350.0,438,6.0,21.0308599,105.8166626
149,115.0,158,7.0,21.060668,105.7731226
150,220.0,345,8.0,21.0257605,105.8130654
151,133.0,188,9.0,21.0340746,105.8271402
152,160.0,251,10.0,21.0417288,105.8449772
153,48.8,110,7.0,21.142851,105.5069201
154,75.0,110,6.0,10.7508081,106.6757438
155,60.0,65,6.0,21.0321002,105.8337335
156,17.2,55,2.0,10.7508081,106.6757438
157,19.7,55,2.0,21.0350221,105.8237481
158,20.6,45,2.0,21.0350221,105.8237481
159,18.7,60,2.0,21.0350221,105.8237481
160,15.0,50,2.0,21.0350221,105.8237481
161,15.5,40,2.0,21.060668,105.7731226
162,37.0,75,2.0,19.8279264,105.7779134
163,65.0,82,8.0,10.8119203,106.6861257
164,115.0,185,8.0,21.0401934,105.8477013
165,17.9,55,4.0,21.0350221,105.8237481
166,15.0,26,2.0,21.044622,105.8444895
167,70.5,62,5.0,9.9254272,105.7251538
168,16.0,60,4.0,9.9254272,105.7251538
169,17.5,50,4.0,10.8440955,106.7746845
170,16.2,31,3.0,21.0430021,105.8438878
171,18.0,60,5.0,21.0401934,105.8477013
172,16.5,36,3.0,21.0417288,105.8449772
173,11.0,30,3.0,21.141215,105.5045518
174,2.92,50,2.0,21.0350221,105.8237481
175,2.92,50,2.0,21.0350221,105.8237481
176,11.0,30,3.0,21.141215,105.5045518
177,16.2,31,3.0,21.0430021,105.8438878
178,16.5,36,3.0,21.0417288,105.8449772
179,17.5,50,4.0,10.8440955,106.7746845
180,11.0,30,3.0,21.141215,105.5045518
181,17.5,50,4.0,10.8440955,106.7746845
182,16.0,60,4.0,9.9254272,105.7251538
183,16.2,31,3.0,21.0430021,105.8438878
184,16.5,36,3.0,21.0417288,105.8449772
185,15.0,26,2.0,21.044622,105.8444895
186,17.9,55,4.0,21.0350221,105.8237481
187,115.0,185,8.0,21.0401934,105.8477013
188,19.0,55,6.0,21.0443736,105.8128943
189,36.0,98,4.0,21.0272991,105.8150091
190,290.0,180,50.0,21.0466514,105.8413703
191,320.0,352,75.0,21.0430021,105.8438878
192,179.0,205,52.0,21.0430021,105.8438878
193,160.0,174,50.0,21.0430021,105.8438878
194,170.0,172,50.0,10.8440955,106.7746845
195,165.0,180,50.0,21.0430021,105.8438878
196,165.0,170,45.0,21.0467453,105.8438118
197,310.0,185,51.0,21.0430021,105.8438878
198,520.0,325,108.0,21.0430021,105.8438878
199,250.0,280,55.0,21.0430021,105.8438878
200,260.0,300,65.0,21.0430021,105.8438878
201,220.0,280,60.0,21.0350221,105.8237481
202,240.0,282,62.0,21.033437,105.8137813
203,230.0,280,60.0,10.7508081,106.6757438
204,170.0,180,46.0,21.0430021,105.8438878
205,330.0,366,93.0,21.0430021,105.8438878
206,195.0,220,55.0,21.0430021,105.8438878
207,170.0,180,50.0,21.0430021,105.8438878
208,165.0,175,50.0,21.0401934,105.8477013
209,170.0,190,50.0,21.0430021,105.8438878
210,160.0,270,2.0,21.0430021,105.8438878
211,17.3,90,6.0,21.0449967,105.8107125
212,47.0,92,6.0,21.0321002,105.8337335
213,30.0,42,6.0,21.0449967,105.8107125
214,14.0,45,6.0,20.8375079,106.7006624
215,37.8,70,6.0,21.0335046,105.8155478
216,11.0,42,4.0,21.0350221,105.8237481
217,19.0,52,6.0,21.0335046,105.8155478
218,30.0,95,6.0,21.0449967,105.8107125
219,26.0,76,6.0,21.0340746,105.8271402
220,26.0,110,35.0,21.0428792,105.8083381
221,40.0,105,6.0,21.033437,105.8137813
222,90.0,360,5.0,21.033437,105.8137813
223,1.05,35,1.0,21.0357121,105.8062197
224,999.999,2337,390.0,21.0293758,105.8208969
225,84.0,105,10.0,21.034913,105.81013
226,16.0,40,3.0,21.034913,105.81013
227,16.8,46,6.0,20.8375079,106.7006624
228,8.85,32,4.0,21.0132247,105.8356425
229,16.0,45,6.0,21.0412152,105.8151467
230,17.0,46,5.0,21.0357121,105.8062197
231,17.0,70,6.0,21.060668,105.7731226
232,15.0,70,4.0,21.0443736,105.8128943
233,20.0,45,5.0,21.0308599,105.8166626
234,15.0,80,4.0,21.0350221,105.8237481
235,14.0,35,3.0,21.0313739,105.7755575
236,19.0,55,4.0,21.0350221,105.8237481
237,19.0,60,4.0,21.0350221,105.8237481
238,19.0,60,6.0,21.0338877,105.8171576
239,14.0,57,4.0,21.0335046,105.8155478
240,15.5,60,3.0,21.0308599,105.8166626
241,23.0,56,11.0,21.0350221,105.8237481
242,15.0,40,1.0,21.0308599,105.8166626
243,19.5,220,55.0,21.0430021,105.8438878
244,170.0,185,50.0,21.0430021,105.8438878
245,165.0,175,50.0,21.0467453,105.8438118
246,160.0,180,50.0,21.0430021,105.8438878
247,218.0,262,58.0,10.7508081,106.6757438
248,265.0,302,65.0,21.0430021,105.8438878
249,250.0,270,56.0,21.0430021,105.8438878
250,270.0,304,79.0,21.0430021,105.8438878
251,250.0,355,72.0,10.7508081,106.6757438
252,325.0,350,2.0,21.0430021,105.8438878
253,338.0,400,98.0,21.0430021,105.8438878
254,10.7,30,3.0,21.0308599,105.8166626
255,12.5,38,3.0,21.0443736,105.8128943
256,11.9,46,4.0,21.0443736,105.8128943
257,11.8,38,3.0,21.0257605,105.8130654
258,9.6,36,4.0,21.0308599,105.8166626
259,9.6,35,6.0,21.0267835,105.8178095
260,9.8,42,3.0,21.0267835,105.8178095
261,12.25,36,3.0,21.0257605,105.8130654
262,12.35,35,3.0,21.0293108,105.8400223
263,9.6,33,6.0,21.0132247,105.8356425
264,11.3,32,4.0,21.0350221,105.8237481
265,12.4,38,3.0,21.0308599,105.8166626
266,10.9,55,3.0,21.0267835,105.8178095
267,16.0,58,4.0,21.0272991,105.8150091
268,16.8,45,5.0,20.8375079,106.7006624
269,16.5,39,3.0,21.0308599,105.8166626
270,10.0,39,3.0,21.0308599,105.8166626
271,12.0,30,3.0,21.021617,105.8119248
272,17.5,52,6.0,10.7508081,106.6757438
273,19.5,56,6.0,20.8375079,106.7006624
274,11.9,39,3.0,21.0340746,105.8271402
275,10.9,32,3.0,21.0340746,105.8271402
276,10.5,32,2.0,21.0335046,105.8155478
277,10.55,33,3.0,21.0338877,105.8171576
278,13.6,42,4.0,21.0350221,105.8237481
279,9.98,35,3.0,21.0308599,105.8166626
280,12.0,36,6.0,21.0267835,105.8178095
281,16.9,46,5.0,21.0308599,105.8166626
282,13.5,38,4.0,21.0329898,105.8321294
283,10.9,33,3.0,21.0308599,105.8166626
284,10.0,34,3.0,21.0267835,105.8178095
285,13.9,50,5.0,21.034913,105.81013
286,10.5,45,4.0,21.0308599,105.8166626
287,10.8,35,3.0,21.034913,105.81013
288,10.9,35,3.0,21.0350221,105.8237481
289,13.2,38,3.0,21.0359363,105.81262
290,16.5,42,4.0,20.8375079,106.7006624
291,12.2,34,3.0,21.0340746,105.8271402
292,9.8,32,3.0,21.0132247,105.8356425
293,13.9,39,3.0,21.0449967,105.8107125
294,15.5,40,5.0,21.060668,105.7731226
295,19.8,42,3.0,21.060668,105.7731226
296,10.5,38,4.0,21.0443736,105.8128943
297,9.9,38,6.0,21.0267835,105.8178095
298,10.5,39,4.0,10.7508081,106.6757438
299,10.5,40,5.0,21.0443736,105.8128943
300,10.9,50,6.0,21.0308599,105.8166626
301,11.3,56,5.0,21.0308599,105.8166626
302,9.7,35,3.0,21.0443736,105.8128943
303,10.5,36,3.0,21.0257605,105.8130654
304,10.9,45,4.0,21.0340746,105.8271402
305,14.7,43,3.0,21.0467453,105.8438118
306,4.1,15,3.0,21.0257605,105.8130654
307,2.7,11,2.0,21.0321002,105.8337335
308,10.9,45,2.0,21.141215,105.5045518
309,13.3,57,3.0,15.9932234,108.2058619
310,12.9,37,5.0,21.0340746,105.8271402
311,3.35,17,2.0,21.0420546,105.8380335
312,7.9,20,4.0,21.0299786,105.8400632
313,7.6,15,2.0,21.0422493,105.8413123
314,9.5,85,3.0,21.0403773,105.8463581
315,3.7,18,2.0,21.0417288,105.8449772
316,195.0,220,55.0,21.0430021,105.8438878
317,160.0,185,50.0,21.0430021,105.8438878
318,230.0,250,65.0,21.0430021,105.8438878
319,185.0,220,50.0,21.0293108,105.8400223
320,170.0,180,46.0,21.0321002,105.8337335
321,198.0,210,45.0,21.033437,105.8137813
322,240.0,260,55.0,21.0430021,105.8438878
323,270.0,310,65.0,21.0430021,105.8438878
324,230.0,285,60.0,21.033437,105.8137813
325,329.0,385,94.0,21.0430021,105.8438878
326,200.0,280,60.0,21.0432853,105.8444143
327,270.0,300,75.0,21.0430021,105.8438878
328,170.0,190,50.0,21.0299786,105.8400632
329,165.0,180,48.0,21.0467453,105.8438118
330,189.0,205,52.0,21.0467453,105.8438118
331,220.0,260,55.0,21.0467453,105.8438118
332,165.0,180,50.0,21.0403773,105.8463581
333,11.5,54,4.0,21.0350221,105.8237481
334,45.0,100,12.0,21.0350221,105.8237481
335,6.3,45,3.0,21.0335046,105.8155478
336,6.3,40,4.0,21.0350221,105.8237481
337,25.0,75,5.0,21.0449967,105.8107125
338,12.0,71,10.0,10.7508081,106.6757438
339,11.0,40,4.0,21.033437,105.8137813
340,11.0,43,4.0,21.0350221,105.8237481
341,110.0,2250,140.0,10.7508081,106.6757438
342,6.5,45,3.0,21.0443736,105.8128943
343,15.5,52,3.0,21.0267835,105.8178095
344,8.5,22,3.0,21.0467453,105.8438118
345,10.5,25,1.0,21.0304301,105.8413237
346,195.0,220,55.0,21.0430021,105.8438878
347,170.0,185,50.0,21.0430021,105.8438878
348,290.0,360,70.0,21.0467453,105.8438118
349,350.0,348,70.0,10.8440955,106.7746845
350,240.0,320,75.0,21.0445117,105.8427015
352,390.0,385,105.0,21.0430021,105.8438878
353,170.0,180,10.0,21.0403773,105.8463581
354,190.0,250,50.0,16.0656178,108.2160586
355,280.0,300,70.0,21.0403773,105.8463581
356,230.0,290,60.0,10.7508081,106.6757438
357,258.0,315,68.0,21.033437,105.8137813
358,326.0,380,98.0,21.0430021,105.8438878
359,260.0,298,60.0,21.0430021,105.8438878
360,250.0,260,55.0,21.0430021,105.8438878
361,370.0,401,90.0,21.0430021,105.8438878
362,9.3,22,1.0,9.9254272,105.7251538
363,210.0,300,2.0,21.0430021,105.8438878
364,205.0,445,10.0,21.0467453,105.8438118
365,150.0,216,10.0,21.0458507,105.8409379
366,35.0,38,6.0,10.7508081,106.6757438
368,200.0,200,56.0,21.0482127,105.8409282
369,260.0,220,30.0,21.0482127,105.8409282
370,55.0,289,6.0,21.0308599,105.8166626
371,10.5,35,3.0,21.034913,105.81013
372,20.5,70,3.0,10.7508081,106.6757438
373,16.5,45,4.0,21.0350221,105.8237481
374,19.0,46,7.0,19.8279264,105.7779134
375,7.6,30,4.0,10.7508081,106.6757438
376,122.0,160,5.0,10.7508081,106.6757438
377,12.0,150,5.0,16.0530332,108.2345236
378,11.3,30,4.0,21.0350221,105.8237481
379,18.9,63,5.0,21.0350221,105.8237481
380,18.9,63,5.0,21.0350221,105.8237481
381,16.8,56,5.0,21.0267835,105.8178095
382,15.5,55,5.0,21.0267835,105.8178095
383,15.8,52,4.0,21.0267835,105.8178095
384,55.0,95,4.0,21.141215,105.5045518
385,68.0,104,30.0,21.0382278,105.8104991
386,43.0,105,2.0,21.0359363,105.81262
387,7.95,34,4.0,10.7508081,106.6757438
388,24.0,58,6.0,10.7508081,106.6757438
389,18.0,52,6.0,10.7508081,106.6757438
390,58.0,104,5.0,10.7508081,106.6757438
391,5.4,100,3.0,10.7508081,106.6757438
392,18.0,52,8.0,21.0357121,105.8062197
